进出口类型,日期,商品编码,商品名称,金额,第一数量,第一计量单位,贸易伙伴名称,贸易方式,货币,地址,第二数量,第二计量单位
进口,2023-11,10039000,其他大麦,18749559.0,57119600.0,千克,澳大利亚,一般贸易,usd,北京市,0.0,—
进口,2023-11,10039000,其他大麦,10123138.0,31970200.0,千克,澳大利亚,一般贸易,usd,辽宁省,0.0,—
进口,2023-11,10039000,其他大麦,2109595.0,7713140.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—
进口,2023-11,10039000,其他大麦,548018.0,1968320.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10039000,其他大麦,776562.0,2375600.0,千克,澳大利亚,一般贸易,usd,安徽省,0.0,—
进口,2023-11,10039000,其他大麦,26894185.0,95845800.0,千克,澳大利亚,一般贸易,usd,福建省,0.0,—
进口,2023-11,10039000,其他大麦,11549762.0,39668000.0,千克,澳大利亚,一般贸易,usd,江西省,0.0,—
进口,2023-11,10039000,其他大麦,849310.0,3013180.0,千克,澳大利亚,一般贸易,usd,山东省,0.0,—
进口,2023-11,10039000,其他大麦,1368374.0,4985460.0,千克,澳大利亚,一般贸易,usd,湖南省,0.0,—
进口,2023-11,10039000,其他大麦,55564215.0,199959000.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—
进口,2023-11,10039000,其他大麦,428896.0,1547000.0,千克,澳大利亚,一般贸易,usd,四川省,0.0,—
进口,2023-11,10049000,其他燕麦,51839.0,232560.0,千克,俄罗斯,一般贸易,usd,北京市,0.0,—
进口,2023-11,10049000,其他燕麦,355433.0,1542000.0,千克,俄罗斯,一般贸易,usd,天津市,0.0,—
进口,2023-11,10049000,其他燕麦,1744644.0,8031340.0,千克,俄罗斯,一般贸易,usd,内蒙古自治区,0.0,—
进口,2023-11,10049000,其他燕麦,380717.0,2340400.0,千克,俄罗斯,一般贸易,usd,黑龙江省,0.0,—
进口,2023-11,10049000,其他燕麦,109552.0,490000.0,千克,俄罗斯,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10049000,其他燕麦,93058.0,466900.0,千克,俄罗斯,一般贸易,usd,山东省,0.0,—
进口,2023-11,10049000,其他燕麦,1501310.0,6752580.0,千克,俄罗斯,边境小额贸易,usd,内蒙古自治区,0.0,—
进口,2023-11,10049000,其他燕麦,209899.0,531390.0,千克,澳大利亚,一般贸易,usd,河北省,0.0,—
进口,2023-11,10049000,其他燕麦,195116.0,520310.0,千克,澳大利亚,一般贸易,usd,上海市,0.0,—
进口,2023-11,10049000,其他燕麦,1995454.0,5616510.0,千克,澳大利亚,一般贸易,usd,江苏省,0.0,—
进口,2023-11,10049000,其他燕麦,1167088.0,3284110.0,千克,澳大利亚,一般贸易,usd,广东省,0.0,—
进口,2023-11,10049000,其他燕麦,1253056.0,3419620.0,千克,澳大利亚,一般贸易,usd,广西壮族自治区,0.0,—
进口,2023-11,10051000,种用玉米,1409.0,55.0,千克,菲律宾,其他,usd,北京市,0.0,—
进口,2023-11,10051000,种用玉米,141.0,26.0,千克,德国,其他,usd,黑龙江省,0.0,—
进口,2023-11,10051000,种用玉米,5194.0,383.0,千克,智利,一般贸易,usd,北京市,0.0,—
进口,2023-11,10051000,种用玉米,3596.0,120.0,千克,智利,其他,usd,北京市,0.0,—
进口,2023-11,10051000,种用玉米,699.0,12.0,千克,智利,其他,usd,海南省,0.0,—
进口,2023-11,10051000,种用玉米,1.0,7.0,千克,美国,一般贸易,usd,北京市,0.0,—
进口,2023-11,10059000,玉米，种用除外,13421550.0,38781300.0,千克,缅甸,一般贸易,usd,云南省,0.0,—
进口,2023-11,10059000,玉米，种用除外,4332536.0,12294200.0,千克,老挝,一般贸易,usd,云南省,0.0,—
进口,2023-11,10059000,玉米，种用除外,1643674.0,6195180.0,千克,老挝,进料加工贸易,usd,云南省,0.0,—
进口,2023-11,10059000,玉米，种用除外,48697.0,169088.0,千克,老挝,海关特殊监管区域物流货物,usd,海南省,0.0,—
进口,2023-11,10059000,玉米，种用除外,14813231.0,55960000.0,千克,南非,一般贸易,usd,北京市,0.0,—
进口,2023-11,10059000,玉米，种用除外,300124.0,872000.0,千克,保加利亚,一般贸易,usd,北京市,0.0,—
进口,2023-11,10059000,玉米，种用除外,1107819.0,4066650.0,千克,保加利亚,一般贸易,usd,黑龙江省,0.0,—
进口,2023-11,10059000,玉米，种用除外,1725304.0,6333350.0,千克,保加利亚,一般贸易,usd,福建省,0.0,—
进口,2023-11,10059000,玉米，种用除外,12947805.0,46270000.0,千克,保加利亚,进料加工贸易,usd,山东省,0.0,—
进口,2023-11,10059000,玉米，种用除外,53830.0,368000.0,千克,俄罗斯,进料加工贸易,usd,黑龙江省,0.0,—
进口,2023-11,10059000,玉米，种用除外,88007.0,600000.0,千克,俄罗斯,保税监管场所进出境货物,usd,黑龙江省,0.0,—
进口,2023-11,10059000,玉米，种用除外,6417776.0,18502800.0,千克,乌克兰,一般贸易,usd,福建省,0.0,—
