进出口类型,日期,商品编码,商品名称,金额,贸易伙伴名称,贸易方式,公司,商品1996编码,货币
进口,2016.0,10079000,其他食用高梁,54877214.0,美国,一般贸易,厦门市明穗粮油贸易有限公司,hs100700,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,15788458.0,美国,一般贸易,山东新希望六和集团有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,732361.0,印度尼西亚,一般贸易,广西金源生物化工实业有限公司,hs071410,usd
进口,2016.0,10079000,其他食用高梁,1789362.0,澳大利亚,一般贸易,肇庆市福加德面粉有限公司,hs100700,usd
进口,2016.0,10051000,种用玉米,919233.0,德国,一般贸易,新疆康地种业科技股份有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,63590.0,缅甸,除一般贸易及加工贸易外合计（代码修正）,德宏州姐告江龙贸易有限公司,hs100590,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,544098.0,美国,一般贸易,宁波若水供应链管理有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,18277031.0,泰国,一般贸易,江苏腾峰进出口贸易有限公司,hs071410,usd
进口,2016.0,10059000,玉米，种用除外,346621.0,老挝,一般贸易,西双版纳路博橡胶有限公司,hs100590,usd
进口,2016.0,10079000,其他食用高梁,13179451.0,美国,一般贸易,西王国际贸易有限公司,hs100700,usd
进口,2016.0,10079000,其他食用高梁,116886.0,澳大利亚,除一般贸易及加工贸易外合计（代码修正）,嘉里粮油（天津）有限公司,hs100700,usd
进口,2016.0,07141020,木薯干,13148233.0,越南,一般贸易,日照昌久国际贸易有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,13151422.0,美国,一般贸易,光明米业集团上海国际贸易有限公司,hs230330,usd
进口,2016.0,07141020,木薯干,1440717.0,印度尼西亚,一般贸易,日照昌久国际贸易有限公司,hs071410,usd
进口,2016.0,07141010,鲜木薯,1206027.0,越南,除一般贸易及加工贸易外合计（代码修正）,河口百世贸易有限公司,hs071410,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,693477.0,美国,一般贸易,日照山外山进出口有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,1818433.0,美国,一般贸易,富锦市嘉大生物营养有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,44995881.0,美国,一般贸易,厦门建发原材料贸易有限公司,hs230330,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,115632.0,美国,一般贸易,布瑞克（苏州）农业信息科技有限公司,hs230330,usd
进口,2016.0,10039000,其他大麦,27579244.0,澳大利亚,一般贸易,安徽安粮国际发展有限公司,hs100300,usd
进口,2016.0,10039000,其他大麦,170039.0,澳大利亚,一般贸易,福建海富特生物科技股份有限公司,hs100300,usd
进口,2016.0,10049000,其他燕麦,913370.0,澳大利亚,加工贸易（代码修正）,东莞市日隆食品有限公司,hs100400,usd
进口,2016.0,23033000,酿造及蒸馏过程中的糟粕及残渣,8832149.0,美国,一般贸易,青岛天普阳光商贸有限公司,hs230330,usd
进口,2016.0,10079000,其他食用高梁,658481.0,澳大利亚,一般贸易,日照东昱国际经贸有限公司,hs100700,usd
进口,2016.0,10059000,玉米，种用除外,60281057.0,乌克兰,一般贸易,中粮集团有限公司,hs100590,usd
进口,2016.0,10039000,其他大麦,3114212.0,澳大利亚,除一般贸易及加工贸易外合计（代码修正）,厦门象屿物流集团有限责任公司,hs100300,usd
进口,2016.0,10079000,其他食用高梁,29325858.0,美国,一般贸易,大连农垦北大荒国际贸易有限公司,hs100700,usd
进口,2016.0,10051000,种用玉米,388.0,匈牙利,一般贸易,北京金色谷雨种业科技有限公司,hs100510,usd
进口,2016.0,10059000,玉米，种用除外,24668731.0,乌克兰,一般贸易,厦门象屿物流集团有限责任公司,hs100590,usd
进口,2016.0,10059000,玉米，种用除外,6604506.0,乌克兰,除一般贸易及加工贸易外合计（代码修正）,中粮生物化学（安徽）股份有限公司,hs100590,usd
