wave,t1,qroulei,qzhurou,qniurou,qyangrou,qnailei,qqindan
2005,63,25.752,8.551,7.436,9.158,25.023,1.388
2005,22,260.153,108.152,51.002,4.18,30.002,100.002
2005,43,523.454,436.968,18.181,11.649,6.909,92.058
2005,54,21.459,1.222,12.762,7.475,26.98,0.404
2005,65,143.273,26.18,34.22,59.89,159.826,24.993
2006,36,249.122,185.301,10.747,1.713,13.89,43.25
2006,42,326.929,254.033,16.113,6.454,13.883,124.811
2006,46,62.131,40.114,3.052,1.386,0.094,2.614
2006,50,177.062,142.149,6.317,4.006,8.346,36.884
2006,52,174.972,140.786,13.787,6.042,4.088,12.184
2006,33,170.036,129.945,1.287,3.607,25.48,42.001
2006,41,736.541,470.314,109.253,51.167,154.07,400.82
2006,64,26.737,10.452,6.228,7.2,64.734,6.293
2006,65,156.955,28.773,38.001,66.994,187.818,25.796
2006,11,59.206,29.252,3.582,2.975,61.954,15.185
2006,13,595.507,352.199,90.036,35.367,416.999,465.087
2006,21,359.778,195.664,44.362,7.597,97.366,237.434
2006,34,353.808,226.723,34.385,17.56,12.806,123.562
2006,35,168.314,135.971,2.949,2.26,17.427,44.918
2006,12,59.527,37.205,6.159,2.789,68.276,23.085
2006,22,268.314,114.215,52.999,4.35,35,101
2006,31,28.552,16.318,,0.571,22.086,6.755
2006,44,392.753,259.526,7.339,0.743,12.478,34.695
2006,51,690.842,541.304,29.579,20.971,62.518,171.685
2006,62,89.309,53.639,14.593,14.361,36.429,14.79
2006,63,27.173,9.087,7.704,9.568,25.555,1.463
2006,15,255.088,95.614,38.176,80.993,877.454,50.278
2006,32,351.378,218.707,5.424,17.97,59.763,185.54
2006,43,539.719,449.626,18.534,13.001,7.275,95.293
2006,53,322.045,260.59,24.171,11.37,38.748,20.544
2006,54,22.7,1.189,13.46,8.051,27.613,0.349
2006,23,177.828,101.675,32.308,11.971,464.563,107.63
2006,37,766.138,380.685,81.083,36.639,238.649,430.519
2006,14,72.534,51.057,7.16,7.729,83.428,52.407
2006,45,266.363,197.35,18.512,4.07,6.272,18.812
2006,61,104.085,67.707,12.672,10.188,157.405,49.921
2007,23,165.029,92.107,33.189,10.397,511.743,91.392
2007,44,385.683,235.368,5.328,0.745,12.958,29.803
2007,62,76.886,41.8,14.5,14.6,35.218,12.364
2007,33,149.643,111.405,1.049,2.117,23.711,37.874
2007,34,323.839,202.542,17.092,13.167,18.098,108.577
2007,41,542.921,338.982,82.111,25.298,224.568,336.725
2007,42,310.03,236.941,15.742,6.091,15.513,110.29
2007,46,54.655,32.575,2.017,0.94,0.143,2.168
2007,50,159.267,130.266,4.175,1.599,8.71,32.35
2007,61,96.018,70.154,7.585,7.003,180.259,43.293
2007,65,125.745,17.547,31.443,60.548,203.848,21.31
2007,31,25.412,15.154,,0.226,22.042,5.536
2007,51,564.17,408.466,28.6,23.797,65.497,145.218
2007,52,150.592,125.634,9.465,2.782,4.082,10.346
2007,12,33.761,20.454,3.889,1.36,67.214,19.355
2007,13,396.189,225.511,57.738,24.342,497.703,396.449
2007,32,305.632,183.594,2.842,7.12,61.656,166.089
2007,35,150.436,121.867,2.057,1.442,16.658,39.692
2007,53,266.098,203.599,24.775,10.187,44.653,17.951
2007,22,231.674,96.374,47.555,4.442,47.999,86.26
2007,54,23.716,1.209,14.187,8.179,28.939,0.285
2007,36,244.668,187.685,7.254,1.076,11.277,36.37
2007,37,618.722,300.099,69.236,33.003,242.184,359.905
2007,45,329.044,206.157,11.652,2.671,6.96,16.824
