scenario,indicator,coef_source,region,commodity,year,value
BS,land_harvested,ahv_physical,MEX,RIC,2045,0.050742
BS,land_prod,pn_land,MEX,RIC,2045,0.111484
BS,co2_faostat,faostat_wld,MEX,RIC,2050,0.404222
BS,water_green,,MEX,RIC,2050,0.493016
BS,water_blue,,MEX,RIC,2050,0.1467
BS,water_grey,,MEX,RIC,2050,0.0804485
BS,nitrogen_total,crop_nfert,MEX,RIC,2050,0.0111854
BS,land_harvested,ahv_physical,MEX,RIC,2050,0.0520993
BS,land_prod,pn_land,MEX,RIC,2050,0.120458
BS,co2_faostat,faostat_wld,ROW,RIC,2024,203.016
BS,water_green,,ROW,RIC,2024,247.612
BS,water_blue,,ROW,RIC,2024,73.6785
BS,water_grey,,ROW,RIC,2024,40.4043
BS,nitrogen_total,crop_nfert,ROW,RIC,2024,5.61772
BS,land_harvested,ahv_physical,ROW,RIC,2024,92.1632
BS,land_prod,pn_land,ROW,RIC,2024,60.4985
BS,co2_faostat,faostat_wld,ROW,RIC,2030,218.364
BS,water_green,,ROW,RIC,2030,266.332
BS,water_blue,,ROW,RIC,2030,79.2487
BS,water_grey,,ROW,RIC,2030,43.459
BS,nitrogen_total,crop_nfert,ROW,RIC,2030,6.04243
BS,land_harvested,ahv_physical,ROW,RIC,2030,95.4384
BS,land_prod,pn_land,ROW,RIC,2030,65.0723
BS,co2_faostat,faostat_wld,ROW,RIC,2035,231.133
BS,water_green,,ROW,RIC,2035,281.906
BS,water_blue,,ROW,RIC,2035,83.8829
BS,water_grey,,ROW,RIC,2035,46.0003
BS,nitrogen_total,crop_nfert,ROW,RIC,2035,6.39577
BS,land_harvested,ahv_physical,ROW,RIC,2035,97.9485
BS,land_prod,pn_land,ROW,RIC,2035,68.8775
BS,co2_faostat,faostat_wld,ROW,RIC,2040,246.037
BS,water_green,,ROW,RIC,2040,300.084
BS,water_blue,,ROW,RIC,2040,89.2919
BS,water_grey,,ROW,RIC,2040,48.9665
BS,nitrogen_total,crop_nfert,ROW,RIC,2040,6.80818
BS,land_harvested,ahv_physical,ROW,RIC,2040,100.606
BS,land_prod,pn_land,ROW,RIC,2040,73.3188
BS,co2_faostat,faostat_wld,ROW,RIC,2045,262.272
BS,water_green,,ROW,RIC,2045,319.885
BS,water_blue,,ROW,RIC,2045,95.184
BS,water_grey,,ROW,RIC,2045,52.1977
BS,nitrogen_total,crop_nfert,ROW,RIC,2045,7.25743
BS,land_harvested,ahv_physical,ROW,RIC,2045,103.351
BS,land_prod,pn_land,ROW,RIC,2045,78.157
BS,co2_faostat,faostat_wld,ROW,RIC,2050,280.001
BS,water_green,,ROW,RIC,2050,341.508
BS,water_blue,,ROW,RIC,2050,101.618
BS,water_grey,,ROW,RIC,2050,55.726
BS,nitrogen_total,crop_nfert,ROW,RIC,2050,7.748
BS,land_harvested,ahv_physical,ROW,RIC,2050,106.192
BS,land_prod,pn_land,ROW,RIC,2050,83.44
BS,co2_faostat,faostat_wld,USA,RIC,2024,6.79269
BS,water_green,,USA,RIC,2024,8.28482
BS,water_blue,,USA,RIC,2024,2.4652
BS,water_grey,,USA,RIC,2024,1.35189
BS,nitrogen_total,crop_nfert,USA,RIC,2024,0.187963
BS,land_harvested,ahv_physical,USA,RIC,2024,1.21129
BS,land_prod,pn_land,USA,RIC,2024,2.02422
BS,co2_faostat,faostat_wld,USA,RIC,2030,7.80749
BS,water_green,,USA,RIC,2030,9.52255
BS,water_blue,,USA,RIC,2030,2.8335
BS,water_grey,,USA,RIC,2030,1.55385
BS,nitrogen_total,crop_nfert,USA,RIC,2030,0.216044
BS,land_harvested,ahv_physical,USA,RIC,2030,1.27509
BS,land_prod,pn_land,USA,RIC,2030,2.32663
BS,co2_faostat,faostat_wld,USA,RIC,2035,8.54316
BS,water_green,,USA,RIC,2035,10.4198
BS,water_blue,,USA,RIC,2035,3.10049
BS,water_grey,,USA,RIC,2035,1.70027
BS,nitrogen_total,crop_nfert,USA,RIC,2035,0.236401
BS,land_harvested,ahv_physical,USA,RIC,2035,1.31462
BS,land_prod,pn_land,USA,RIC,2035,2.54586
BS,co2_faostat,faostat_wld,USA,RIC,2040,9.30815
BS,water_green,,USA,RIC,2040,11.3528
BS,water_blue,,USA,RIC,2040,3.37812
BS,water_grey,,USA,RIC,2040,1.85252
BS,nitrogen_total,crop_nfert,USA,RIC,2040,0.257569
BS,land_harvested,ahv_physical,USA,RIC,2040,1.35025
BS,land_prod,pn_land,USA,RIC,2040,2.77382
BS,co2_faostat,faostat_wld,USA,RIC,2045,10.1587
BS,water_green,,USA,RIC,2045,12.3902
BS,water_blue,,USA,RIC,2045,3.68679
BS,water_grey,,USA,RIC,2045,2.02179
BS,nitrogen_total,crop_nfert,USA,RIC,2045,0.281104
BS,land_harvested,ahv_physical,USA,RIC,2045,1.38627
