account,geography,scenario,indicator,boundary,region,commodity,year,unit,value,coef_source,quantity_variable,note
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2026,Mha,23.6349,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2026,Mt N,5.01296,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2026,km3,48.6232,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2027,Mt CO2e,24.3351,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2027,Mha,23.6521,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2027,Mt N,5.0166,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2027,km3,48.9564,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2028,Mt CO2e,24.4935,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2028,Mha,23.6654,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2028,Mt N,5.01943,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2028,km3,49.2751,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2029,Mt CO2e,24.6446,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2029,Mha,23.6753,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2029,Mt N,5.02154,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2029,km3,49.5792,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2030,Mt CO2e,24.7883,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2030,Mha,23.6821,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2030,Mt N,5.02298,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2030,km3,49.8683,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2031,Mt CO2e,24.8128,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2031,Mha,23.6862,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2031,Mt N,5.02383,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2031,km3,49.9174,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2032,Mt CO2e,24.8285,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2032,Mha,23.6877,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2032,Mt N,5.02415,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
direct_production,China,BS,water_blue_crop_direct,crop blue-water footprint; crop production only,CHN,WHEA,2032,km3,49.9491,mh_wld,production,Livestock water omitted from direct account.
direct_production,China,BS,co2_faostat_direct,farm-gate direct production,CHN,WHEA,2033,Mt CO2e,24.8352,faostat_chn,production,
direct_production,China,BS,land_harvested,model physical harvested area,CHN,WHEA,2033,Mha,23.6869,model_area,area,
direct_production,China,BS,nitrogen_crop_fertilizer_direct,direct crop fertilizer application,CHN,WHEA,2033,Mt N,5.02399,ludemann_chn,area,Crop-only direct N; no livestock supply-chain factor.
