sample,variable,n,mean,sd,p1,p50,p95,p99,min,max
lenient60,qg6_pc,3125,.5064586154024658,3.1814501,0,0,1.4285713,13.432836,0,64.285713
lenient60,p1,3125,2.853905186666666,.68933254,1.955,2.7,4.3325,5,1.5,5.875
lenient60,p2,3125,4.4258552,1.864262,2,4,8,11.25,1.48,13.9
lenient60,p3,3125,13.48316522666667,4.0886059,9,12.75,22.200001,27.4,8,30
lenient60,p4,3125,8.477470906666666,2.6438069,4.5900002,7.96,15.5,18,4,21.700001
lenient60,p5,3125,2.2272964,.96698946,.98000002,2,4.29,5.4899998,.68000001,7.9000001
lenient60,p6,3125,5.791221285333333,1.9511185,2.5,5.5,8.5,12,2,12
lenient60,s1,3125,.200332195422103,.15252259,.011866747,.16100775,.50857002,.75942165,0,.95613086
lenient60,s2,3125,.0376478864132115,.063063301,0,.018469365,.13331358,.30987063,0,.90254372
lenient60,s3,3125,.3509713400431642,.20953278,.0038991333,.32934594,.72470039,.87898314,0,.97074974
lenient60,s4,3125,.0711760091766847,.095605455,0,.040297072,.2622897,.52797592,0,.85419005
lenient60,s5,3125,.1230596924144999,.10686886,.0043846234,.094551921,.32632259,.53427213,0,.86160284
lenient60,s6,3125,.2168128765303368,.17667946,0,.1715083,.57710695,.73752087,0,.93898749
lenient60,food_exp,3125,678.5252838573028,862.36792,18.389544,255.25235,2401.0713,3769.1877,2.6779323,8039.5059
lenient60,food_exp_pc,3125,241.8993386088783,288.28568,7.1993189,104.36756,845.92877,1255.3257,1.9167725,1895.0026
lenient60,food_to_total_exp,3124,.4394731395964583,.63727713,.0065999557,.17484593,1.7059853,2.9372139,.00052859343,11.07516
lenient60,income_annual,3091,48806.37762665798,114653.91,360,26300,149400,320000,14,2728000
lenient60,hhsize,3125,2.96896,1.4252602,1,3,6,7,1,10
p99,qt1_pc,3172,14.80024414279655,18.242611,.30612245,5.5236769,54.955357,75.919914,0,88.821426
p99,qt2_pc,3172,1.649204106181355,3.0496452,0,.45910382,7.5,15.129683,0,30
p99,qt3_pc,3172,6.361656039767662,9.1096878,.014285714,2.4622483,25.136236,46.085644,0,59.328571
p99,qt4_pc,3172,1.833756267785756,3.0082164,0,.42492917,8.5714283,14.285714,0,20.357143
p99,qt5_pc,3172,14.18595838957868,20.863981,.15804598,3.8757021,58.390369,97.35714,0,138.24611
p99,qt6_pc,3172,8.830610864014618,13.808187,0,2.8842502,38.688328,65.98008,0,96.428574
p99,qb1_pc,3172,9.164050067064213,13.516801,0,2.8630991,38.725685,62.857143,0,87
p99,qb2_pc,3172,1.333104322923425,2.5340586,0,.31999999,6,12.857142,0,24.771427
p99,qb3_pc,3172,4.574366692170211,6.9592648,0,1.8094573,18,33.707142,0,58.448978
p99,qb4_pc,3172,1.328084370469704,2.6983774,0,.16949153,7.1428571,14.285714,0,20.357143
p99,qb5_pc,3172,4.770102110430027,9.1966915,0,1.2871568,21.428572,45.492428,0,134.71428
p99,qb6_pc,3172,7.055822575830002,11.582059,0,2.201,31.428572,54.1758,0,92.997238
