scenario,pgdp_multiplier_vs_2023,pgdp_real_2023_yuan_per_person,group,group_label_cn,item,item_label_cn,item_kcal_share_within_group_2023,kcal_per_cap_day,kg_per_cap_year,protein_g_per_cap_day,fat_g_per_cap_day,carb_g_per_cap_day
2x_2023_pgdp,2.0,154554.21055958356,oil,食用油,oil,食用油,1.0,233.15933189926736,9.4653716097467,0.0,25.906592433251927,0.0
2x_2023_pgdp,2.0,154554.21055958356,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,65.83248633265015,110.92119056186725,4.045128678271275,0.5023362410925111,14.171169748715052
2x_2023_pgdp,2.0,154554.21055958356,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,49.35906210464888,59.380546038882144,0.760396362152699,0.20010430582965763,12.673272702544985
2x_2023_pgdp,2.0,154554.21055958356,meatsea,肉类水产,pork,猪肉,0.7594886091488202,268.55087890228714,26.65629763770859,8.965279720561936,25.129950731878154,1.6300508582839883
2x_2023_pgdp,2.0,154554.21055958356,meatsea,肉类水产,beef,牛肉,0.026626450892129068,9.414962519508588,2.7680805822343326,1.4940809739890022,0.3153336729022015,0.1501588918581912
2x_2023_pgdp,2.0,154554.21055958356,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,8.288420133671135,1.5060777059854156,0.7761457986187853,0.575981882132888,0.0
2x_2023_pgdp,2.0,154554.21055958356,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,39.364935376663446,10.89077648183291,4.549360795027572,2.215750853536745,0.30643362868061363
2x_2023_pgdp,2.0,154554.21055958356,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,27.97515019476017,13.462003719297906,4.530609690078232,0.900663372123986,0.43668527133284163
2x_2023_pgdp,2.0,154554.21055958356,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,51.27935857808119,13.866062556302698,4.749411344627297,3.1424676565955045,0.9998760725531151
2x_2023_pgdp,2.0,154554.21055958356,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,18.220095062188758,12.224879959005325,1.004784654164821,1.0717702977758092,1.1387559413867974
2.5x_2023_pgdp,2.5,193192.76319947944,grain,主粮,grain,主粮,1.0,729.9002138479008,118.67369821052144,22.13832526670419,4.891778278673199,149.3302270682563
2.5x_2023_pgdp,2.5,193192.76319947944,oil,食用油,oil,食用油,1.0,232.84524109579505,9.452620731839083,0.0,25.871693455088337,0.0
2.5x_2023_pgdp,2.5,193192.76319947944,vegfruit,蔬菜水果,vegetable,蔬菜,0.5715044829741485,65.94770465633617,111.1153219755468,4.05220835840138,0.5032154170563804,14.195971765379996
2.5x_2023_pgdp,2.5,193192.76319947944,vegfruit,蔬菜水果,fruit,水果,0.42849551702585165,49.44544906511813,59.484472342676725,0.7617271883004685,0.20045452323696542,12.695453138341144
2.5x_2023_pgdp,2.5,193192.76319947944,meatsea,肉类水产,pork,猪肉,0.7594886091488202,270.34765157039544,26.834644873897755,9.025263026629284,25.298085756460875,1.640956913932597
2.5x_2023_pgdp,2.5,193192.76319947944,meatsea,肉类水产,beef,牛肉,0.026626450892129068,9.477954483621549,2.786600765648402,1.5040773064120319,0.31744345160454945,0.1511635483831188
2.5x_2023_pgdp,2.5,193192.76319947944,meatsea,肉类水产,mutton,羊肉,0.023440476922264718,8.343874827466411,1.516154304018619,0.7813386974956226,0.5798355597204357,0.0
2.5x_2023_pgdp,2.5,193192.76319947944,meatsea,肉类水产,poultry,禽肉,0.11132795446680879,39.62831131591096,10.963642560681803,4.579798852677135,2.230575607003372,0.30848386054301946
2.5x_2023_pgdp,2.5,193192.76319947944,meatsea,肉类水产,aquatic,水产品,0.07911650856997735,28.162321376108114,13.552072910058616,4.5609222911550695,0.9066893711332368,0.4396069678221754
2.5x_2023_pgdp,2.5,193192.76319947944,dairyegg,奶类蛋类,egg,蛋类,0.7378382978879777,51.49646105458501,13.924767590917094,4.7695190252505615,3.1557719866319505,1.0041092684738024
2.5x_2023_pgdp,2.5,193192.76319947944,dairyegg,奶类蛋类,milk,奶类,0.2621617021120224,18.297233853894063,12.276636685057598,1.0090386316485698,1.0763078737584744,1.143577115868379
3x_2023_pgdp,3.0,231831.31583937534,grain,主粮,grain,主粮,1.0,729.4438504119212,118.59949856562717,22.124483481219173,4.8887197390249675,149.23685970895494
