term,est,se,t,p,eq,n
Pp12,-0.00913514182865482,0.0233326737934454,-0.391517144992661,0.699018808906084,常温牛奶,584835
Pp13,0.0241892914097176,0.0101774689911077,2.37674921248617,0.0261704398235074,常温牛奶,584835
Pz_fsize,0.0103694757189618,0.0016875201302324,6.14480119862849,2.87070272742322e-06,常温牛奶,584835
Pz_elderly,-0.0159206018223522,0.00384097916215228,-4.1449331408065,0.000392312667423493,常温牛奶,584835
Pz_lock_days,0.000841320459091381,0.000877453501743322,0.958820561340114,0.347620670925741,常温牛奶,584835
Pz_ln_covid,-0.000980801261662511,0.00059743650312462,-1.64168285086846,0.114260416151377,常温牛奶,584835
Pz_cny_share,0.106088077031264,0.0107780759705149,9.84295131352612,1.02968047834876e-09,常温牛奶,584835
Pz_hot_days,0.000591836171465601,0.000190655097962343,3.1042242132046,0.00499730737826,常温牛奶,584835
phi_9,0.187134093274373,0.0714188394372672,2.62023430720612,0.0152998915590232,常温牛奶,584835
Py1,0.210651546452416,0.0380490549854248,5.53631480553482,1.24574577501579e-05,新鲜牛奶,584835
Py2,-0.0553178859806739,0.00939323222933155,-5.889121511117,5.29495161801388e-06,新鲜牛奶,584835
Py3,0.00381051603561617,0.000629873897001815,6.049649070638,3.60228663354983e-06,新鲜牛奶,584835
Pp1,-0.036864537431023,0.0252429203006081,-1.4603911509452,0.157708941242404,新鲜牛奶,584835
Pp2,0.0859813656711477,0.0547059154491044,1.5717014323824,0.129676314006174,新鲜牛奶,584835
Pp3,0.0258823763774218,0.0120375087568076,2.15014392930634,0.04229184580405,新鲜牛奶,584835
Pp4,-0.0372611380493748,0.0222640328940341,-1.67360236246144,0.107756657100017,新鲜牛奶,584835
Pp5,-0.0295323037993122,0.0206680469058055,-1.42888701259028,0.16647817277712,新鲜牛奶,584835
Pp6,-0.0155635649974164,0.00927125349770518,-1.67869048141857,0.106749343625784,新鲜牛奶,584835
Pp7,-0.0293419570903813,0.01630880298194,-1.79914841836485,0.0851309921963074,新鲜牛奶,584835
Pp8,-0.0127741667580763,0.0105144260996838,-1.21491811697268,0.236722934218557,新鲜牛奶,584835
Pp9,-0.0084600554176141,0.0202409824658524,-0.41796663931144,0.679848002718601,新鲜牛奶,584835
Pp10,0.0443558224594298,0.0182108259321434,2.43568428058711,0.0230250663923376,新鲜牛奶,584835
Pp11,-0.00154362434256535,0.011138899263681,-0.138579612403752,0.890988553485985,新鲜牛奶,584835
Pp12,0.0227400375864337,0.0109927252202178,2.06864422887697,0.0500013628853087,新鲜牛奶,584835
Pp13,-0.00510973610257279,0.00882754573557991,-0.578839946643122,0.568323120947372,新鲜牛奶,584835
Pz_fsize,0.00426364666819052,0.00288575089122093,1.47748257868046,0.153109843062864,新鲜牛奶,584835
Pz_elderly,-0.00262203365285278,0.00309776770371787,-0.846426815576224,0.406035587621223,新鲜牛奶,584835
Pz_lock_days,-0.000566461444712317,0.000370896268256675,-1.5272772826075,0.140328297468462,新鲜牛奶,584835
Pz_ln_covid,0.00258477090692383,0.000929023890790485,2.78224374264962,0.0105930547450556,新鲜牛奶,584835
Pz_cny_share,-0.0328704948369347,0.00739751019409521,-4.44345380735971,0.000186391357158099,新鲜牛奶,584835
Pz_hot_days,-0.000251109474918032,0.000248135301071244,-1.01198609723787,0.322073089567488,新鲜牛奶,584835
phi_10,0.00648779436382736,0.0200672638383353,0.323302390205957,0.749387391894553,新鲜牛奶,584835
Py1,-0.0461750698148292,0.0227205843741797,-2.03230115275133,0.0538275231332541,常温酸奶,584835
Py2,0.00734644187450123,0.00416740268597186,1.76283465459926,0.0912129603983791,常温酸奶,584835
Py3,-0.000669796229930056,0.000301788748262817,-2.21942081600323,0.0365996658862341,常温酸奶,584835
Pp1,0.134133159204191,0.0681850631987762,1.96719270924719,0.0613371240993818,常温酸奶,584835
Pp2,-0.168807536145008,0.0755793211595261,-2.23351484976564,0.035530401766632,常温酸奶,584835
Pp3,0.0124714970397518,0.0201435844065603,0.619129981439155,0.541915337073676,常温酸奶,584835
Pp4,0.0576451885423993,0.0383293556962855,1.50394358306382,0.146204646863516,常温酸奶,584835
Pp5,-0.181463716985474,0.0339591285245542,-5.34359169005961,1.99722488283094e-05,常温酸奶,584835
Pp6,0.00484088002065074,0.0139773200641958,0.346338210645336,0.732236922277929,常温酸奶,584835
Pp7,-0.0245599772875594,0.0316002445231268,-0.77720845702903,0.444956666203228,常温酸奶,584835
Pp8,0.0148963724028147,0.010721627426473,1.38937605367947,0.178023687776827,常温酸奶,584835
Pp9,-0.0774916927994085,0.0555827726474613,-1.39416745708075,0.176590570652425,常温酸奶,584835
Pp10,0.0077781730258195,0.0172313287323601,0.451397170040187,0.655930869669391,常温酸奶,584835
Pp11,0.151051315136587,0.019812441818899,7.62406353125539,9.6965792884607e-08,常温酸奶,584835
Pp12,-0.0510273679975069,0.0357139989149685,-1.42877777755994,0.166509245544639,常温酸奶,584835
Pp13,0.0752233531734479,0.0166322075261968,4.52275219960829,0.000152940061781646,常温酸奶,584835
Pz_fsize,0.0072120878525578,0.00220264349035383,3.27428741153171,0.00332989688248771,常温酸奶,584835
Pz_elderly,-0.0413975593750487,0.00689458594865762,-6.0043575761223,4.01472873554493e-06,常温酸奶,584835
Pz_lock_days,0.000239303090851222,0.000286527241277712,0.835184430576644,0.412205852582541,常温酸奶,584835
Pz_ln_covid,-0.00225690597200054,0.00101130237257567,-2.23168266307184,0.0356677790102684,常温酸奶,584835
Pz_cny_share,0.101578491013849,0.0100261805843372,10.1313247013059,5.97304150548059e-10,常温酸奶,584835
Pz_hot_days,-1.89765505432544e-05,0.000174074217836798,-0.109014136493468,0.914136803092333,常温酸奶,584835
phi_11,0.0886600378381562,0.0589647861263303,1.5036099282749,0.146290109208575,常温酸奶,584835
Py1,0.151313943176115,0.0116838439645179,12.950698728572,4.75562085762363e-12,新鲜酸奶,584835
Py2,-0.0479385333827427,0.00328028281358806,-14.6141464340102,3.94437696746929e-13,新鲜酸奶,584835
Py3,0.00348087816424689,0.000263727769191285,13.1987548179735,3.23056836545175e-12,新鲜酸奶,584835
Pp1,0.169414631781522,0.0288276366775216,5.87681306229391,5.45426910860757e-06,新鲜酸奶,584835
Pp2,-0.0310217727719504,0.0219838626406985,-1.41111565692373,0.17159479098887,新鲜酸奶,584835
Pp3,-0.0284540535561868,0.0151511619364322,-1.87801131527521,0.0731167998833979,新鲜酸奶,584835
Pp4,0.027597161160193,0.0133910639606269,2.06086396430752,0.0507994100165929,新鲜酸奶,584835
Pp5,-0.122759652373951,0.0169454847664977,-7.24438716658346,2.25254075119949e-07,新鲜酸奶,584835
Pp6,0.0011398324967716,0.00648590856726468,0.175739834280813,0.862036432344319,新鲜酸奶,584835
Pp7,-0.0387185751965616,0.010002289497239,-3.87097126185453,0.000774625388378121,新鲜酸奶,584835
Pp8,0.010781550250099,0.0050347172074913,2.14144107916465,0.0430607565229955,新鲜酸奶,584835
Pp9,-0.0536028958393969,0.0215201940578912,-2.49081842362575,0.0204028697976334,新鲜酸奶,584835
Pp10,-0.0197258075301606,0.00984845195575282,-2.00293483877312,0.0571072296822873,新鲜酸奶,584835
Pp11,0.0459050256439778,0.0110136782814888,4.16800132260377,0.000370412765448461,新鲜酸奶,584835
Pp12,-0.053766332818744,0.0129597381680485,-4.14872060851522,0.000388630623237171,新鲜酸奶,584835
Pp13,0.0179764962370954,0.00713281703675496,2.52025197680855,0.019119322703229,新鲜酸奶,584835
Pz_fsize,0.00274994483247811,0.000841739163774959,3.26697978521683,0.00338886735774208,新鲜酸奶,584835
Pz_elderly,-0.0084008530393757,0.00236625909373765,-3.55026761930201,0.00170544999333312,新鲜酸奶,584835
Pz_lock_days,-0.00215758091791279,0.000504592949806171,-4.27588399469628,0.000283095774008645,新鲜酸奶,584835
Pz_ln_covid,-0.00114316359876475,0.000494319195598154,-2.31260207765442,0.0300403612337623,新鲜酸奶,584835
Pz_cny_share,-0.0209826303051884,0.00600013211761197,-3.49702804769895,0.00194207661401461,新鲜酸奶,584835
Pz_hot_days,0.000316858122251611,0.000154780785828949,2.0471411910376,0.0522347475643904,新鲜酸奶,584835
phi_12,0.0380756979710834,0.0154975589293168,2.45688357403535,0.0219819060148776,新鲜酸奶,584835
Py1,-0.00398888253621904,0.0259101127777359,-0.153950797915732,0.878991386632409,坚果,584835
Py2,-0.0181407548051185,0.00508345038115649,-3.56859090675169,0.00163073247749156,坚果,584835
