crop,province,region,year,C_var,q_output,S_labor,S_mach,S_fert,S_seed,S_other,w_labor,w_mach,w_fert,w_seed,w_other,labor_days,fert_kg,cost_labor,cost_mach,cost_fert,cost_seed,cost_other,cost_land,land_rent
peanut,广西,huanan,2011,778.2,175.78,0.572449241840144,0.105140066820869,0.108288357748651,0.158661012593164,0.055461320997173,40,111.730397547445,5.90126050420168,14.9660606060606,20.3084079142862,10.95,14.28,445.48,81.82,84.27,123.47,43.16,128.31,7.29
peanut,广西,huanan,2012,974.46,181.79,0.619789421833631,0.0951603965273074,0.097643823245695,0.125423311372452,0.0619830470209142,56,130.8333,5.91728855721393,14.3619271445358,20.3017331234118,10.79,16.08,603.96,92.73,95.15,122.22,60.4,129.07,4.21
peanut,广西,huanan,2013,1189.21,178.81,0.625154514341454,0.096231952304471,0.107146761295314,0.10981239646488,0.0616543755938816,68,130.8333,7.28114285714286,15.2025611175786,20.3966196518594,10.94,17.5,743.44,114.44,127.42,130.59,73.32,140.78,3.76
peanut,广西,huanan,2014,1263.37,173.42,0.629538456667485,0.104434963629024,0.0933930677473741,0.107648590674149,0.0649849212819681,74.4,130.8333,6.5622914349277,16.5450121654501,22.9065205336071,10.69,17.98,795.34,131.94,117.99,136,82.1,154.53,1.26
peanut,广西,huanan,2015,1275.83,171.54,0.640343932969126,0.108047310378342,0.0971994701488443,0.105209941763401,0.0491993447402867,78,125.8333,6.09985243482538,16.3495736906212,26.0974476521363,10.47,20.33,816.97,137.85,124.01,134.23,62.77,155.25,1.13
peanut,广西,huanan,2016,1320.3556,178.95,0.647572214636724,0.107546785123644,0.0914677833759329,0.102358788799017,0.051054428064682,81.4,118.3333,5.76467780429594,16.361985472155,29.7888041507972,10.5,20.95,855.0256,142,120.77,135.15,67.41,157.92,0
peanut,广西,huanan,2017,1341.271,182.67,0.637590017229926,0.106988073252907,0.10755469998233,0.100680623080645,0.0471865864541916,83.1,135.4167,6.15706359368331,16.4884004884005,31.4848083456436,10.3,23.43,855.181,143.5,144.26,135.04,63.29,166.23,0
peanut,广西,huanan,2018,1378.61932,189.54,0.627337298595235,0.109319518313438,0.11695759493636,0.0991064016134635,0.047279186541503,84.89,138.3333,6.4599358974359,16.4021608643457,30.6361996703273,10.19,24.96,864.85932,150.71,161.24,136.63,65.18,174.49,3.35
peanut,广西,huanan,2019,1367.29,185.54,0.626860431949331,0.108784529982666,0.128714464378442,0.0986915723804021,0.036949001309159,86.38,149.1667,7.83919821826281,16.1218637992832,30.1090643494384,9.92,22.45,857.1,148.74,175.99,134.94,50.52,188.91,1.48
peanut,广西,huanan,2020,1447.42,184.14,0.620704425805917,0.104758812231419,0.124753008801868,0.103356316756712,0.0464274364040845,89.77,150,7.79326715580492,17.2151898734177,29.9922457319728,10.01,23.17,898.42,151.63,180.57,149.6,67.2,226.65,1.06
peanut,广西,huanan,2021,1474.03,190,0.62305380487507,0.104163415941331,0.128688018561359,0.0991567335807276,0.044938027041512,92.2,135,8.13421955403087,17.0947368421053,32.2202358234584,9.96,23.32,918.4,153.54,189.69,146.16,66.24,228.25,1.73
peanut,广西,huanan,2022,1479.33,174.2,0.609296100261605,0.103891626614751,0.133817336226535,0.106636112294079,0.0463588246030298,95.3,163,10.9370165745856,18.1530494821634,36.7073390430663,9.46,18.1,901.35,153.69,197.96,157.75,68.58,259.72,1.7
peanut,广西,huanan,2023,1468.56,175.73,0.597782862123441,0.105348096094133,0.130338562946015,0.115058288391349,0.0514721904450618,96.95,165,10.4310626702997,19.0711060948081,35.0731062450023,9.06,18.35,877.88,154.71,191.41,168.97,75.59,259.04,2.55
