path,bytes,mtime,sha256,generating_script,git_commit,manifest_built_at,r_version
demand/system_coefficients_main_v2.csv,31123,2026-07-09 13:44:12 CST,4c3b0a7389fc237d6f1633ec0fa2aa352046bd3a4941e2ae0746a21c4f7290ef,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
demand/wild_cluster_province_price_terms_v2.csv,3073,2026-07-07 11:20:30 CST,4bf285d762623ab9b71f6e32f6d9f5b5c787310a97086c7dbf3d52ea5c383982,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
descriptives/group_descriptives_v2.csv,857,2026-07-09 14:02:58 CST,cee08a04bac1d8cf249015885da5092d5dc97cc4ec5a7450074f306d70df8169,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
descriptives/income_group_descriptives_v2.csv,274,2026-07-09 14:02:58 CST,6319b6c376974e9a417cf7b7e5b9e72c767544800e6e2498fefd2ad03bb315d3,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
descriptives/national_price_series_v2.csv,23565,2026-07-09 14:02:59 CST,404e5f5268aed266590380214f95ce32cf0be428263ab1c56b5463f13486ba88,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
descriptives/sample_descriptives_v2.csv,335,2026-07-09 14:02:58 CST,9b073a05866cd94b42bf66babc3104bedc22957d265ae440a9e4415b23b785fd,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/bootstrap_draws_curv_b1_v2.rds,1562099,2026-07-07 19:24:59 CST,097b9de236e5642c8f9c27ee239729478a410add849718207bca0de6ee3bacb3,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/bootstrap_draws_curv_b2_v2.rds,1718274,2026-07-07 22:07:40 CST,f7c2fcee87cdb806bfb2398d7679a1bc1bc59bfa971e22a35179870d1bc52bcf,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/bootstrap_draws_curv_v2.rds,3279580,2026-07-07 22:07:45 CST,1f696ceee15d6d6c905958261e488b5d162f9c129c77864d5aebd78ba9ee0bc5,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/bootstrap_draws_v2.rds,2702678,2026-07-09 17:00:17 CST,505ae8093cce48b4612334abb17d15603dbab8442705546721f6e79fe91c354a,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/curvature_bootstrap_share_curv_v2.csv,51,2026-07-07 22:07:46 CST,d78b6c4c98d33f258d4cb5b5102b46b56663d28be1185b31eb44b6a50e334c19,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/curvature_bootstrap_share_v2.csv,51,2026-07-09 17:00:17 CST,5b5ed7d5ae65c2976e4998bb0acc14674e0c0f52fac8d3df97ae3bbb0f2162b7,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/expenditure_elasticity_ci_curv_v2.csv,813,2026-07-07 22:07:45 CST,81506d67950a7206668fee9fe939df9ec1492f95a520440e9de93183a51d3a40,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/expenditure_elasticity_ci_v2.csv,815,2026-07-09 17:00:17 CST,3b41c1c6021491bf5034191047b49286aee493dbce167e99e623746e59d10ca7,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/hicksian_ci_curv_v2.csv,8658,2026-07-07 22:07:46 CST,cd10ddb1a3d1931a5ce737399a25eed8ce4bece3d55f721e584e30886594d665,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/hicksian_ci_v2.csv,8750,2026-07-09 17:00:17 CST,049e62009bb19b4c6f270edb23563c79e45b3019d40b4e9a439de37577cd2740,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/marshallian_ci_curv_v2.csv,8738,2026-07-07 22:07:46 CST,bdbf93bb524668266d9f565d25fb12c171aa28fb48cad5e6fe6df5699e892ba0,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/marshallian_ci_v2.csv,8797,2026-07-09 17:00:17 CST,ccf663eb5e159c0f05a12109919ad5e00e5bdd2a2f233be3d7524d189cf772fa,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
inference/slutsky_eigenvalue_ci_curv_v2.csv,748,2026-07-07 22:07:46 CST,c0838ee271f1b35c087aa5121500cef6e525401d184259cd4e092f76648e9954,driver/log/manual,HEAD,2026-07-11 12:15:31 CST,4.1.2
