draw,success,nll_aidads,nll_maidads,lr_stat,message,elapsed_seconds,n_sampled_provinces,n_unique_sampled_provinces
242,True,-3331.5090493333314,-3416.9575056477584,170.8969126288539,ok,108.08713006973268,31,19
243,True,-3518.573740431884,-3596.376475199468,155.6054695351686,ok,134.68857502937317,31,19
244,True,-3062.302945466996,-3133.679955449926,142.7540199658606,ok,95.42362880706789,31,21
245,True,-3287.8644531691502,-3422.6312690869704,269.53363183564034,ok,156.30567288398743,31,21
246,True,-3218.7828701433,-3347.939165522877,258.31259075915386,ok,133.66455101966858,31,19
247,True,-3497.217059776011,-3562.963169885092,131.4922202181624,ok,266.4700417518616,31,20
248,True,-3471.1043778917365,-3519.621160491331,97.03356519918908,ok,120.75076293945312,31,20
249,True,-3451.2746713210213,-3523.1344784608145,143.7196142795865,ok,189.7866711616516,31,22
250,True,-3511.52465882592,-3544.3353184236694,65.62131919549847,ok,178.87796711921692,31,19
251,True,-3029.1999682496207,-3296.1666775154004,533.9334185315593,ok,134.60469508171082,31,22
252,True,-3485.139311821878,-3578.3312056203745,186.383787596993,ok,119.42206525802612,31,18
253,True,-3097.9028634726046,-3303.421617027408,411.0375071096069,ok,167.39631509780884,31,19
254,True,-2997.7171095503973,-3077.004441052373,158.57466300395117,ok,84.78377604484558,31,19
255,True,-3016.217985088932,-3142.869087350482,253.30220452310004,ok,136.4628460407257,31,19
256,True,-3270.363913845051,-3418.8969510187303,297.06607434735906,ok,244.93641591072085,31,19
257,True,-3191.838496813766,-3317.96242298535,252.24785234316732,ok,134.65331411361694,31,18
258,True,-2980.346513625978,-3281.6021310516244,602.511234851293,ok,213.8101291656494,31,20
259,False,-3567.7970948268667,-3601.693082093575,67.79197453341658,ok,256.51590394973755,31,20
260,True,-2913.709275453453,-3203.390695142986,579.362839379065,ok,215.6676349639893,31,20
261,True,-3081.56382451605,-3229.865211289721,296.6027735473426,ok,137.73785281181335,31,19
262,True,-2986.0088221499254,-3336.5987808830437,701.1799174662365,ok,145.36094093322754,31,18
263,False,-3217.671664022534,-3430.781198439189,426.2190688333103,ok,248.4580659866333,31,19
264,True,-3056.755988236393,-3289.0882846427053,464.6645928126245,ok,174.6076462268829,31,20
265,True,-3011.3238244552304,-3013.052810396228,3.457971881995036,ok,66.51123785972595,31,20
266,True,-2996.5074296536523,-3300.115214034733,607.2155687621616,ok,119.2479259967804,31,21
267,True,-3442.1819010772615,-3552.182902222119,220.00200228971516,ok,108.26844596862792,31,20
268,True,-3058.069508731731,-3152.8985828422283,189.65814822099492,ok,154.60418391227722,31,16
269,True,-3414.5312652855105,-3479.6527832692927,130.24303596756454,ok,124.32414293289185,31,21
270,True,-3263.412159625966,-3343.358242178512,159.8921651050914,ok,98.2479157447815,31,19
271,True,-3477.3092864898726,-3493.463058044682,32.307543109618564,ok,180.0819969177246,31,21
272,True,-3530.7924843430496,-3588.341575053008,115.09818141991671,ok,176.5370979309082,31,22
273,True,-2981.6408458435885,-3278.168714874426,593.0557380616747,ok,122.74460792541504,31,22
274,True,-3568.162131589206,-3669.583584751568,202.84290632472312,ok,196.20101809501648,31,18
275,True,-3072.2312063009963,-3240.291637282714,336.12086196343535,ok,156.89555978775024,31,19
276,True,-3208.697589069607,-3327.548565674227,237.70195320923995,ok,83.85094928741455,31,20
277,False,-3278.3562009029847,-3370.2731820614986,183.83396231702773,ok,83.74881887435913,31,20
278,False,-3133.9330423491137,-3431.672359166339,595.4786336344514,ok,247.78239226341248,31,15
279,True,-3461.535651067416,-3490.5856225827997,58.09994303076746,ok,195.20342588424683,31,22
280,True,-3100.2531801614223,-3277.1056789730687,353.7049976232929,ok,124.17028093338013,31,23
281,True,-3118.5620396160407,-3380.6782351512006,524.2323910703199,ok,222.246963262558,31,21
282,True,-3425.7449444073177,-3428.6333338261034,5.776778837571328,ok,30.268911838531498,31,18
283,True,-3256.973952841247,-3364.386554185729,214.82520268896403,ok,109.03227591514587,31,19
284,True,-3172.4348155900448,-3267.5905856672916,190.31154015449377,ok,116.25421500205994,31,21
285,True,-3403.197946884116,-3466.1041053636823,125.81231695913266,ok,159.8181290626526,31,19
286,True,-3034.260149393807,-3243.1465094009423,417.7727200142708,ok,193.43307423591617,31,22
287,True,-3228.6746265828556,-3302.468232732686,147.58721229966068,ok,106.38949131965636,31,21
288,True,-3311.664694319181,-3497.9673325176664,372.605276396971,ok,149.8286190032959,31,19
289,True,-3514.1043765071577,-3618.092564477101,207.97637593988568,ok,194.99251103401184,31,19
290,True,-3176.730359506691,-3236.5055813288545,119.55044364432706,ok,105.39600801467896,31,22
291,True,-2902.2070272075857,-2901.9037732580587,-0.6065078990541224,ok,71.44419813156128,31,21
292,True,-3023.6165272971907,-3085.967704957557,124.70235532073276,ok,95.6548628807068,31,21
293,True,-3352.134007055303,-3493.408896704224,282.5497792978422,ok,204.8308207988739,31,18
294,False,-3498.72998728853,-3532.808360329828,68.15674608259633,ok,240.6874089241028,31,20
295,True,-2973.9471992403924,-3333.4595246825666,719.0246508843484,ok,214.45635509490967,31,18
296,False,-2979.3663928531737,-3261.449800185223,564.1668146640986,ok,241.87832283973697,31,18
297,True,-2973.0698198325786,-3229.2630730751034,512.3865064850497,ok,194.09459900856015,31,19
298,True,-3038.27417161297,-3315.1585355296206,553.7687278333015,ok,131.29474425315857,31,18
299,True,-3420.01609068068,-3508.538512906964,177.0448444525682,ok,128.24332809448242,31,20
300,True,-2961.885115649957,-3282.7638087407786,641.7573861816436,ok,181.8867151737213,31,20
301,False,-3424.3060461541672,-3477.682553228364,106.75301414839396,ok,235.914577960968,31,20
302,True,-3426.4142533374206,-3633.552614728409,414.2767227819768,ok,103.71263790130617,31,18
303,True,-3018.056630656185,-3334.6372407292165,633.161220146063,ok,148.91075205802915,31,22
304,True,-3429.282180281138,-3520.10458208265,181.64480360302332,ok,107.07181000709534,31,19
305,False,-3033.2735569603037,-3088.0060784634056,109.4650430062038,ok,110.39198207855225,31,20
306,True,-3301.740084138757,-3343.9871669457466,84.49416561397902,ok,38.744871854782104,31,21
307,True,-2998.8198945073937,-3309.5767822562866,621.5137754977859,ok,119.81753921508788,31,18
308,True,-3039.4608277924763,-3280.052506941812,481.183358298671,ok,185.151025056839,31,18
309,True,-3136.433955166301,-3268.3743817274667,263.88085312233125,ok,124.12784790992735,31,20
310,True,-3019.3752106880547,-3295.866557840026,552.9826943039425,ok,184.53839683532715,31,18
311,True,-3496.7375221832126,-3560.533880994888,127.59271762335084,ok,215.619815826416,31,21
312,True,-3464.430193520866,-3511.883082958735,94.90577887573818,ok,177.64073276519775,31,22
313,True,-3362.8682898274815,-3397.46206154691,69.18754343885576,ok,73.77541899681091,31,19
314,True,-3526.269023931315,-3582.5627041883317,112.5873605140332,ok,235.82827496528623,31,19
315,True,-2962.2671802563896,-3252.6368984077103,580.7394363026415,ok,230.6458261013031,31,22
316,True,-2895.4409739656157,-3100.741533566289,410.6011192013466,ok,198.5606369972229,31,20
317,True,-3480.1466563234485,-3545.382364820228,130.4714169935587,ok,108.54715991020204,31,22
318,True,-3475.2116663910524,-3524.735451123561,99.04756946501676,ok,59.42488193511963,31,17
319,True,-3645.805663370597,-3692.703642249856,93.79595775851884,ok,134.14485621452332,31,19
320,True,-3095.4911481440377,-3382.7902471734783,574.5981980588813,ok,171.25109028816223,31,23
321,True,-2992.1571487302153,-3297.832406969604,611.3505164787775,ok,165.9662618637085,31,20
322,True,-3130.7148327095633,-3259.5509410839313,257.672216748736,ok,181.13034415245056,31,17
323,True,-3073.2894221453944,-3115.3005111974226,84.02217810405637,ok,60.92050099372864,31,21
324,True,-3097.403553397709,-3431.2676395054937,667.7281722155694,ok,210.542151927948,31,21
325,True,-3474.935463350224,-3603.0962388333937,256.3215509663396,ok,135.0790090560913,31,17
326,True,-3348.4264980586295,-3498.4685348742237,300.0840736311884,ok,121.36592602729796,31,21
327,True,-3069.1506129860813,-3310.8204780630767,483.3397301539908,ok,165.3089039325714,31,21
328,True,-3425.7608048058787,-3489.7992340332075,128.07685845465767,ok,237.31211805343628,31,21
329,True,-2917.129914050055,-3260.3916513349113,686.5234745697126,ok,125.08638882637024,31,20
330,True,-3044.3730700047427,-3302.6227841776304,516.4994283457754,ok,199.3206181526184,31,21
331,True,-2988.3749068987067,-3089.286021456032,201.82222911465033,ok,80.54593205451965,31,23
