scenario,base_ssp,diet_pathway,year,population_million,food_demand_mt,energy_kcal,protein_g,fat_g,kcal_per_capita_day,protein_g_per_capita_day,fat_g_per_capita_day
SSP2__MTS,SSP2,MTS,2031,8541.342053189861,2731.202277599931,6667181865590783.0,182598983537080.7,211414889822409.34,2138.5692755072782,58.57056006625936,67.81356754228841
SSP2__MTS,SSP2,MTS,2032,8604.037860737553,2766.499219041356,6747353263753222.0,184781885238133.16,213733968366205.2,2148.514412878689,58.83885549697596,68.05787300680227
SSP2__MTS,SSP2,MTS,2033,8667.887696366779,2802.584482774519,6829298321998350.0,187013501745614.6,216104176991025.78,2158.5889223601666,59.11079794237826,68.30571173409956
SSP2__MTS,SSP2,MTS,2034,8732.915153120195,2839.476774430878,6913058806875629.0,189295000358747.3,218526705416653.16,2168.793216244401,59.38640536931549,68.55709599989267
SSP2__MTS,SSP2,MTS,2035,8799.144375956763,2877.1953259770935,6998677769574992.0,191627583324406.4,221002781302600.78,2179.1277450867265,59.665696477906415,68.81203969290289
SSP2__MTS,SSP2,MTS,2036,8855.606330843266,2911.3278914956422,7076028077633017.0,193738466177821.6,223269446103377.47,2189.164419760169,59.93833719174119,69.07456020052608
SSP2__MTS,SSP2,MTS,2037,8913.097851390046,2946.1993440769497,7155049261357114.0,195895746937459.75,225585580056137.44,2199.3334994737493,60.21483052127428,69.34095141667505
SSP2__MTS,SSP2,MTS,2038,8971.638677272733,2981.8261907844226,7235778294592514.0,198100467355896.56,227952253203232.38,2209.6353671030292,60.495192236107485,69.61122082265963
SSP2__MTS,SSP2,MTS,2039,9031.248984246591,3018.225370528439,7318253116731199.0,200353697325252.56,230370563780325.9,2220.070399339367,60.779438171259656,69.88537583628492
SSP2__MTS,SSP2,MTS,2040,9091.949394267884,3055.414266355102,7402512659627579.0,202656535700714.78,232841639013941.88,2230.638966656114,61.06758423352608,70.16342381651606
SSP2__MTS,SSP2,MTS,2041,9142.021375037797,3089.606870222665,7479680796794069.0,204780302550040.66,235141087671122.97,2241.5476091047162,61.36957044604507,70.46824018177414
