T1,wave,total_豆类,ratio_豆类
43,2009,280.0,1.0
43,2009,330.0,0.30303031
43,2009,100.0,1.0
43,2009,160.0,1.0
43,2009,250.0,1.0
43,2009,185.0,1.0
43,2009,100.0,1.0
43,2009,995.0,0.87437189
43,2009,225.0,1.0
43,2009,350.0,0.85714287
43,2009,910.0,1.0
43,2009,240.0,1.0
43,2009,180.0,1.0
43,2009,400.0,1.0
43,2009,340.0,1.0
43,2009,75.0,1.0
43,2009,350.0,0.85714287
43,2009,100.0,1.0
43,2009,360.0,1.0
43,2009,790.0,0.81645572
43,2009,630.0,0.0
43,2009,430.0,1.0
43,2009,300.0,1.0
43,2009,50.0,1.0
43,2009,100.0,1.0
43,2009,230.0,1.0
43,2009,200.0,1.0
43,2009,690.0,0.60869563
43,2009,800.0,1.0
43,2009,100.0,1.0
43,2009,190.0,1.0
43,2009,390.0,1.0
43,2009,380.0,1.0
43,2009,876.0,0.71461189
43,2009,470.0,1.0
43,2009,60.0,1.0
43,2009,230.0,1.0
43,2009,10.0,1.0
43,2009,960.0,0.15625
43,2009,267.0,0.43820226
43,2009,870.0,0.74712646
43,2009,400.0,1.0
43,2009,231.0,1.0
43,2009,150.0,1.0
43,2009,50.0,1.0
43,2009,300.0,0.16666667
43,2009,700.0,1.0
43,2009,730.0,1.0
43,2009,75.0,1.0
43,2009,50.0,1.0
43,2009,5.0,0.0
43,2009,315.0,0.3968254
43,2009,235.0,0.57446808
43,2009,150.0,1.0
43,2009,250.0,1.0
43,2009,220.0,1.0
43,2009,550.0,1.0
43,2009,280.0,1.0
43,2009,100.0,1.0
43,2009,200.0,1.0
43,2009,125.0,1.0
43,2009,220.0,1.0
43,2009,100.0,1.0
43,2009,100.0,1.0
43,2009,290.0,1.0
43,2009,315.0,0.84126985
43,2009,150.0,1.0
43,2009,580.0,1.0
43,2009,605.0,1.0
43,2009,250.0,1.0
43,2009,110.0,1.0
43,2009,200.0,1.0
43,2009,100.0,0.0
43,2009,200.0,1.0
43,2009,200.0,1.0
43,2009,300.0,1.0
43,2009,90.0,1.0
43,2009,270.0,1.0
43,2009,40.0,1.0
43,2009,300.0,1.0
43,2009,1180.0,0.0
43,2009,200.0,1.0
43,2009,190.0,1.0
43,2009,20.0,0.0
43,2009,50.0,1.0
43,2009,190.0,1.0
43,2009,160.0,1.0
43,2009,70.0,1.0
43,2009,605.0,0.75206614
43,2009,300.0,1.0
43,2009,150.0,1.0
43,2009,310.0,1.0
43,2009,185.0,1.0
43,2009,255.0,1.0
43,2009,205.0,1.0
43,2009,420.0,0.23809524
43,2009,720.0,1.0
43,2009,450.0,1.0
43,2009,670.0,1.0
43,2009,300.0,1.0
43,2009,400.0,1.0
43,2009,280.0,1.0
43,2009,610.0,1.0
43,2009,230.0,1.0
43,2009,890.0,0.8202247
43,2009,645.0,0.80620158
43,2009,610.0,1.0
43,2009,375.0,1.0
43,2009,470.0,0.36170211
43,2009,650.0,0.23076923
43,2009,95.0,1.0
43,2009,180.0,1.0
43,2009,260.0,1.0
43,2009,270.0,1.0
43,2009,80.0,1.0
43,2009,180.0,1.0
43,2009,80.0,0.0
43,2009,200.0,1.0
43,2009,45.0,1.0
43,2009,470.0,1.0
43,2009,50.0,1.0
43,2009,551.0,1.0
43,2009,240.0,1.0
43,2009,700.0,1.0
43,2009,830.0,1.0
43,2009,580.0,1.0
43,2009,280.0,1.0
43,2009,330.0,1.0
43,2009,250.0,1.0
43,2009,400.0,1.0
43,2009,50.0,1.0
43,2009,400.0,1.0
43,2009,190.0,1.0
43,2009,50.0,1.0
43,2009,480.0,0.79166669
43,2009,400.0,1.0
43,2009,650.0,1.0
43,2009,395.0,0.82278478
43,2009,450.0,1.0
43,2009,220.0,1.0
43,2009,120.0,0.83333331
43,2009,50.0,1.0
43,2009,1761.0,1.0
43,2009,300.0,1.0
43,2009,450.0,1.0
43,2009,350.0,1.0
43,2009,530.0,1.0
43,2009,150.0,1.0
43,2009,655.0,1.0
43,2009,80.0,1.0
43,2009,350.0,1.0
43,2009,380.0,1.0
43,2009,390.0,0.94871795
43,2009,510.0,1.0
43,2009,800.0,1.0
43,2009,450.0,0.55555558
43,2009,330.0,1.0
43,2009,120.0,0.58333331
43,2009,810.0,1.0
43,2009,110.0,1.0
43,2009,120.0,1.0
43,2009,100.0,1.0
45,2009,50.0,1.0
45,2009,300.0,0.5
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,100.0,1.0
45,2009,280.0,0.64285713
45,2009,100.0,1.0
45,2009,300.0,1.0
45,2009,120.0,0.58333331
45,2009,25.0,1.0
45,2009,60.0,1.0
45,2009,450.0,0.11111111
45,2009,70.0,1.0
45,2009,250.0,0.60000002
45,2009,300.0,0.66666669
45,2009,250.0,1.0
45,2009,150.0,1.0
45,2009,110.0,1.0
45,2009,200.0,1.0
45,2009,200.0,1.0
45,2009,200.0,1.0
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,300.0,1.0
45,2009,110.0,1.0
45,2009,150.0,1.0
45,2009,250.0,0.80000001
45,2009,280.0,1.0
45,2009,410.0,1.0
45,2009,150.0,0.0
45,2009,300.0,1.0
45,2009,50.0,1.0
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,250.0,1.0
45,2009,200.0,1.0
45,2009,900.0,1.0
45,2009,100.0,1.0
45,2009,20.0,1.0
45,2009,315.0,0.6825397
45,2009,150.0,1.0
45,2009,250.0,1.0
45,2009,50.0,1.0
45,2009,150.0,0.0
45,2009,300.0,0.16666667
45,2009,30.0,0.0
45,2009,100.0,1.0
45,2009,50.0,1.0
45,2009,470.0,1.0
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,100.0,1.0
45,2009,250.0,1.0
45,2009,190.0,1.0
45,2009,750.0,0.33333334
45,2009,90.0,1.0
45,2009,220.0,1.0
45,2009,1000.0,1.0
45,2009,280.0,1.0
45,2009,400.0,1.0
45,2009,395.0,1.0
45,2009,330.0,1.0
45,2009,850.0,0.64705884
45,2009,200.0,1.0
45,2009,200.0,1.0
45,2009,150.0,1.0
45,2009,290.0,1.0
45,2009,50.0,1.0
45,2009,130.0,1.0
45,2009,370.0,1.0
45,2009,170.0,1.0
45,2009,200.0,1.0
45,2009,200.0,1.0
45,2009,50.0,1.0
45,2009,100.0,1.0
45,2009,60.0,1.0
45,2009,480.0,1.0
45,2009,180.0,1.0
45,2009,250.0,1.0
45,2009,320.0,1.0
45,2009,432.0,1.0
45,2009,210.0,0.14285715
45,2009,205.0,1.0
45,2009,180.0,1.0
45,2009,50.0,1.0
45,2009,130.0,1.0
45,2009,100.0,1.0
45,2009,100.0,1.0
45,2009,190.0,0.2631579
45,2009,200.0,1.0
45,2009,20.0,0.0
45,2009,250.0,1.0
45,2009,100.0,0.0
45,2009,255.0,1.0
45,2009,90.0,1.0
45,2009,100.0,1.0
45,2009,195.0,1.0
45,2009,330.0,1.0
45,2009,100.0,1.0
45,2009,180.0,1.0
45,2009,550.0,1.0
45,2009,709.0,1.0
45,2009,150.0,1.0
45,2009,120.0,1.0
45,2009,395.0,0.65822786
45,2009,310.0,1.0
45,2009,50.0,0.0
45,2009,325.0,1.0
45,2009,140.0,1.0
45,2009,350.0,1.0
45,2009,100.0,1.0
45,2009,1075.0,1.0
45,2009,277.0,1.0
45,2009,10.0,0.0
45,2009,350.0,1.0
45,2009,205.0,1.0
45,2009,315.0,1.0
45,2009,200.0,1.0
45,2009,775.0,1.0
45,2009,80.0,1.0
45,2009,210.0,0.61904764
45,2009,150.0,1.0
45,2009,850.0,1.0
45,2009,100.0,1.0
45,2009,30.0,1.0
45,2009,90.0,0.0
45,2009,110.0,1.0
45,2009,119.0,1.0
45,2009,185.0,1.0
45,2009,320.0,1.0
45,2009,50.0,1.0
45,2009,660.0,1.0
45,2009,75.0,1.0
45,2009,150.0,1.0
45,2009,50.0,1.0
45,2009,700.0,1.0
45,2009,50.0,1.0
45,2009,200.0,1.0
45,2009,300.0,1.0
45,2009,490.0,1.0
45,2009,100.0,1.0
45,2009,330.0,0.39393941
45,2009,260.0,0.61538464
45,2009,290.0,1.0
45,2009,100.0,1.0
45,2009,180.0,1.0
45,2009,100.0,1.0
45,2009,610.0,1.0
45,2009,300.0,0.33333334
45,2009,550.0,1.0
45,2009,400.0,1.0
45,2009,170.0,0.88235295
45,2009,100.0,1.0
45,2009,110.0,1.0
45,2009,350.0,0.5714286
45,2009,250.0,1.0
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,150.0,1.0
45,2009,110.0,1.0
45,2009,100.0,1.0
45,2009,250.0,1.0
45,2009,300.0,1.0
45,2009,190.0,1.0
45,2009,325.0,0.07692308
45,2009,100.0,1.0
45,2009,60.0,1.0
45,2009,250.0,1.0
45,2009,50.0,1.0
45,2009,350.0,1.0
45,2009,400.0,1.0
45,2009,100.0,1.0
45,2009,150.0,1.0
45,2009,610.0,1.0
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,75.0,1.0
45,2009,200.0,1.0
45,2009,200.0,0.75
45,2009,400.0,1.0
45,2009,730.0,1.0
45,2009,150.0,1.0
45,2009,350.0,1.0
45,2009,650.0,1.0
45,2009,260.0,1.0
45,2009,280.0,1.0
45,2009,20.0,1.0
45,2009,400.0,0.75
45,2009,155.0,1.0
45,2009,350.0,0.2857143
45,2009,200.0,1.0
45,2009,300.0,1.0
45,2009,50.0,1.0
45,2009,50.0,1.0
45,2009,300.0,1.0
45,2009,100.0,0.0
45,2009,120.0,1.0
45,2009,100.0,1.0
45,2009,150.0,1.0
45,2009,420.0,1.0
45,2009,200.0,1.0
45,2009,685.0,1.0
45,2009,50.0,0.0
45,2009,80.0,1.0
45,2009,100.0,1.0
45,2009,200.0,1.0
45,2009,585.0,1.0
45,2009,100.0,1.0
45,2009,270.0,0.62962961
45,2009,1050.0,1.0
45,2009,290.0,0.65517241
45,2009,80.0,1.0
45,2009,250.0,1.0
45,2009,200.0,1.0
45,2009,280.0,1.0
45,2009,300.0,1.0
45,2009,340.0,1.0
45,2009,350.0,1.0
45,2009,100.0,0.5
45,2009,175.0,1.0
45,2009,200.0,0.0
45,2009,100.0,1.0
45,2009,130.0,1.0
45,2009,200.0,1.0
45,2009,500.0,0.80000001
45,2009,70.0,1.0
45,2009,350.0,1.0
45,2009,550.0,1.0
45,2009,50.0,1.0
52,2009,1425.0,0.85964912
52,2009,2262.0,1.0
52,2009,790.0,1.0
52,2009,595.0,1.0
52,2009,1415.0,1.0
52,2009,1330.0,1.0
52,2009,230.0,1.0
52,2009,500.0,1.0
52,2009,700.0,0.9285714
52,2009,550.0,0.72727275
52,2009,200.0,1.0
52,2009,690.0,1.0
52,2009,1180.0,1.0
52,2009,660.0,0.46969697
52,2009,420.0,1.0
52,2009,1851.0,0.95137763
52,2009,450.0,1.0
52,2009,620.0,1.0
52,2009,790.0,1.0
52,2009,260.0,1.0
52,2009,1050.0,0.5714286
52,2009,370.0,1.0
52,2009,650.0,1.0
52,2009,350.0,1.0
52,2009,400.0,0.0
