T1,wave,total_大米,ratio_大米
41,2009,70.0,1.0
41,2009,70.0,1.0
41,2009,300.0,1.0
41,2009,416.0,0.51923078
41,2009,870.0,1.0
41,2009,450.0,1.0
41,2009,877.5,0.82564104
41,2009,243.0,1.0
41,2009,302.0,1.0
41,2009,145.0,1.0
41,2009,825.0,1.0
41,2009,120.0,1.0
41,2009,280.0,1.0
41,2009,451.5,0.33222592
41,2009,250.0,1.0
41,2009,40.0,1.0
41,2009,2620.0,1.0
41,2009,1950.0,1.0
41,2009,260.0,1.0
41,2009,4030.0,1.0
41,2009,7.0,0.2857143
41,2009,1070.0,1.0
41,2009,835.0,1.0
41,2009,150.0,1.0
41,2009,180.0,1.0
41,2009,230.0,1.0
41,2009,500.0,1.0
41,2009,1280.0,1.0
41,2009,80.0,1.0
41,2009,400.0,1.0
41,2009,296.0,1.0
41,2009,1300.0,1.0
41,2009,100.0,1.0
41,2009,660.0,1.0
41,2009,305.0,1.0
41,2009,510.0,1.0
41,2009,4901.0,1.0
41,2009,293.0,1.0
41,2009,160.0,1.0
41,2009,160.0,1.0
41,2009,1900.0,1.0
41,2009,5241.0,1.0
41,2009,202.5,0.99753088
41,2009,198.5,1.0
41,2009,100.0,1.0
41,2009,200.0,1.0
41,2009,950.0,1.0
41,2009,543.0,1.0
41,2009,2470.0,0.91902834
41,2009,170.0,1.0
41,2009,520.0,1.0
41,2009,255.0,1.0
41,2009,252.0,1.0
41,2009,200.0,1.0
41,2009,910.0,0.76923078
41,2009,6432.0,0.80534828
41,2009,200.0,0.0
41,2009,400.0,1.0
41,2009,220.0,1.0
41,2009,225.0,1.0
41,2009,250.0,1.0
41,2009,2200.0,1.0
41,2009,350.0,1.0
41,2009,1050.0,1.0
41,2009,560.0,1.0
41,2009,1750.0,1.0
41,2009,6250.0,1.0
41,2009,4377.0,1.0
41,2009,50.0,1.0
41,2009,260.0,1.0
41,2009,3950.0,1.0
41,2009,75.0,1.0
41,2009,2160.0,1.0
41,2009,850.0,1.0
41,2009,750.0,0.33333334
41,2009,652.1,0.99831313
41,2009,3116.0,0.96790755
41,2009,300.0,1.0
41,2009,200.0,1.0
41,2009,860.0,1.0
41,2009,200.0,1.0
41,2009,735.5,1.0
41,2009,880.0,1.0
41,2009,520.0,0.86538464
41,2009,5380.0,1.0
41,2009,350.0,1.0
41,2009,681.5,1.0
41,2009,120.0,0.16666667
41,2009,90.0,1.0
41,2009,730.0,1.0
41,2009,300.0,1.0
41,2009,1382.0,0.9992764
41,2009,550.0,1.0
41,2009,200.0,1.0
41,2009,365.0,1.0
41,2009,19.1,1.0
41,2009,200.0,1.0
41,2009,574.5,1.0
41,2009,81.0,1.0
41,2009,42.0,1.0
41,2009,110.0,1.0
41,2009,275.0,1.0
41,2009,810.0,1.0
41,2009,890.0,1.0
41,2009,415.0,1.0
41,2009,230.0,1.0
41,2009,310.0,1.0
41,2009,880.5,1.0
41,2009,2700.0,1.0
41,2009,4670.0,1.0
41,2009,502.0,0.10358566
41,2009,65.0,1.0
41,2009,220.0,1.0
41,2009,0.8,1.0
41,2009,196.3,0.99337751
41,2009,30.0,1.0
41,2009,280.0,1.0
41,2009,475.0,1.0
41,2009,105.0,1.0
41,2009,610.0,1.0
41,2009,170.0,1.0
41,2009,1060.0,1.0
41,2009,579.0,0.82037997
41,2009,148.0,1.0
41,2009,130.0,1.0
41,2009,600.0,1.0
41,2009,100.0,1.0
41,2009,100.0,1.0
41,2009,1060.6,0.99905711
41,2009,400.0,1.0
41,2009,600.0,1.0
41,2009,215.0,1.0
41,2009,550.0,1.0
41,2009,475.0,1.0
41,2009,2040.0,0.877451
41,2009,60.0,1.0
41,2009,203.0,0.98522168
41,2009,320.0,1.0
41,2009,752.0,1.0
41,2009,445.0,1.0
41,2009,165.0,1.0
41,2009,675.5,1.0
41,2009,40.0,0.75
41,2009,215.0,1.0
42,2009,4250.0,1.0
42,2009,4484.0,1.0
42,2009,2100.0,0.83333331
42,2009,2580.0,1.0
42,2009,4984.0,1.0
42,2009,4953.0,1.0
42,2009,900.0,1.0
42,2009,3500.0,1.0
42,2009,550.0,0.0
42,2009,3145.0,1.0
42,2009,7125.0,1.0
42,2009,4316.0,1.0
42,2009,3810.0,1.0
42,2009,1746.0,1.0
42,2009,2514.6,0.24441263
42,2009,3061.0,0.99967331
42,2009,1650.0,1.0
42,2009,1980.0,0.84848487
42,2009,2300.0,1.0
42,2009,2344.5,1.0
42,2009,1300.0,0.84615386
42,2009,2350.0,1.0
42,2009,1390.0,1.0
42,2009,1686.0,1.0
42,2009,2752.0,0.99963665
42,2009,1530.0,1.0
42,2009,5963.8,0.9991616
42,2009,1945.0,1.0
42,2009,1658.0,0.6031363
42,2009,3547.0,0.71525234
42,2009,1805.0,1.0
42,2009,2964.5,0.79372573
42,2009,4712.0,1.0
42,2009,1400.0,0.85714287
42,2009,3830.0,0.99973893
42,2009,1630.0,1.0
42,2009,2410.0,1.0
42,2009,3307.0,0.75718176
42,2009,3262.0,0.81606376
42,2009,4545.0,0.75027502
42,2009,2704.0,1.0
42,2009,1650.0,0.93939394
42,2009,1300.0,0.0
42,2009,4376.0,1.0
42,2009,1171.0,1.0
42,2009,2700.0,1.0
42,2009,920.0,1.0
42,2009,2600.0,1.0
42,2009,2816.7,0.82188374
42,2009,4240.0,1.0
42,2009,3370.0,1.0
42,2009,1350.0,1.0
42,2009,306.0,1.0
42,2009,1350.0,1.0
42,2009,773.0,1.0
42,2009,4558.0,0.95612109
42,2009,2800.0,1.0
42,2009,2471.0,1.0
42,2009,2748.0,0.52401745
42,2009,1875.0,0.89333332
42,2009,3983.0,1.0
42,2009,2080.0,1.0
42,2009,2550.0,1.0
42,2009,858.0,0.99883449
42,2009,800.0,1.0
42,2009,1295.0,0.88416988
42,2009,2000.0,1.0
42,2009,2120.0,0.77830189
42,2009,1050.0,0.42857143
42,2009,3553.0,1.0
42,2009,1650.0,1.0
42,2009,3100.0,1.0
42,2009,3452.0,1.0
42,2009,3350.0,1.0
42,2009,4496.5,0.88880241
42,2009,2799.0,1.0
42,2009,5114.0,0.84552211
42,2009,3505.0,0.85649073
42,2009,1100.0,1.0
42,2009,5050.0,0.84158415
42,2009,3945.0,1.0
42,2009,3253.0,0.96925914
42,2009,2234.0,1.0
42,2009,996.0,1.0
42,2009,1706.5,0.76472312
42,2009,1530.7,0.86868751
42,2009,1463.6,0.93167531
42,2009,2542.0,1.0
42,2009,3590.0,1.0
42,2009,1665.6,0.90982229
42,2009,1215.0,1.0
