T1,wave,total_奶类,ratio_奶类
11,2011,600.0,0.0
11,2011,250.0,1.0
11,2011,400.0,0.5
11,2011,600.0,1.0
11,2011,750.0,1.0
11,2011,200.0,1.0
11,2011,300.0,1.0
11,2011,270.0,1.0
11,2011,350.0,1.0
11,2011,600.0,1.0
11,2011,450.0,0.55555558
11,2011,200.0,1.0
11,2011,600.0,1.0
11,2011,300.0,1.0
11,2011,750.0,1.0
11,2011,400.0,1.0
11,2011,1125.0,1.0
11,2011,250.0,1.0
11,2011,580.0,1.0
11,2011,1380.0,1.0
11,2011,250.0,1.0
11,2011,750.0,1.0
11,2011,615.0,1.0
11,2011,200.0,1.0
11,2011,150.0,1.0
11,2011,500.0,1.0
11,2011,245.0,1.0
11,2011,300.0,1.0
11,2011,1200.0,0.66666669
11,2011,500.0,1.0
11,2011,220.0,1.0
11,2011,242.0,1.0
11,2011,600.0,1.0
11,2011,540.0,1.0
11,2011,1500.0,1.0
11,2011,200.0,1.0
11,2011,734.0,1.0
11,2011,750.0,1.0
11,2011,250.0,1.0
11,2011,375.0,1.0
11,2011,300.0,1.0
11,2011,875.0,1.0
11,2011,125.0,1.0
11,2011,250.0,1.0
11,2011,200.0,1.0
11,2011,375.0,1.0
11,2011,720.0,1.0
11,2011,600.0,0.66666669
11,2011,1360.0,1.0
11,2011,600.0,1.0
11,2011,200.0,1.0
11,2011,220.0,0.0
11,2011,245.0,1.0
11,2011,250.0,1.0
11,2011,242.0,1.0
11,2011,960.0,1.0
11,2011,100.0,1.0
11,2011,600.0,1.0
11,2011,600.0,1.0
11,2011,729.0,1.0
11,2011,280.0,1.0
11,2011,1060.0,1.0
11,2011,250.0,1.0
11,2011,300.0,1.0
11,2011,250.0,1.0
11,2011,600.0,0.0
11,2011,400.0,1.0
11,2011,250.0,1.0
11,2011,890.0,1.0
11,2011,100.0,1.0
11,2011,130.0,1.0
11,2011,224.0,1.0
11,2011,492.0,1.0
11,2011,750.0,1.0
11,2011,125.0,1.0
11,2011,1000.0,1.0
11,2011,640.0,1.0
11,2011,400.0,1.0
11,2011,920.0,0.92391306
11,2011,360.0,1.0
11,2011,100.0,1.0
11,2011,274.0,1.0
11,2011,650.0,0.69230771
11,2011,300.0,1.0
11,2011,1215.0,1.0
11,2011,440.0,1.0
11,2011,729.0,1.0
11,2011,750.0,1.0
11,2011,220.0,1.0
11,2011,450.0,1.0
11,2011,665.0,1.0
11,2011,360.0,1.0
11,2011,50.0,1.0
11,2011,200.0,1.0
11,2011,400.0,1.0
11,2011,480.0,1.0
11,2011,150.0,0.0
11,2011,250.0,1.0
11,2011,400.0,1.0
11,2011,705.0,1.0
11,2011,500.0,1.0
11,2011,550.0,1.0
11,2011,440.0,1.0
11,2011,600.0,1.0
11,2011,250.0,1.0
11,2011,250.0,1.0
11,2011,400.0,0.0
11,2011,200.0,1.0
11,2011,450.0,1.0
11,2011,240.0,1.0
11,2011,360.0,1.0
11,2011,500.0,1.0
11,2011,250.0,1.0
11,2011,500.0,1.0
11,2011,100.0,1.0
11,2011,575.0,1.0
11,2011,200.0,1.0
11,2011,250.0,1.0
11,2011,240.0,0.0
11,2011,300.0,1.0
