T1,wave,total_蛋类,ratio_蛋类
42,2006,700.0,0.74285716
42,2006,660.0,1.0
42,2006,260.0,1.0
42,2006,100.0,1.0
42,2006,100.0,1.0
42,2006,350.0,0.82857144
42,2006,180.0,1.0
42,2006,100.0,1.0
42,2006,320.0,0.71875
42,2006,307.0,1.0
42,2006,240.0,1.0
42,2006,240.0,1.0
42,2006,965.0,0.40932643
42,2006,110.0,1.0
42,2006,140.0,1.0
42,2006,428.0,1.0
42,2006,350.0,1.0
42,2006,90.0,1.0
42,2006,790.0,0.78481013
42,2006,420.0,1.0
42,2006,255.0,0.7647059
43,2006,500.0,1.0
43,2006,100.0,1.0
43,2006,125.0,1.0
43,2006,1925.0,0.94285715
43,2006,280.0,1.0
43,2006,290.0,0.58620691
43,2006,100.0,1.0
43,2006,169.0,1.0
43,2006,775.0,1.0
43,2006,430.0,0.88372093
43,2006,400.0,1.0
43,2006,175.0,0.40000001
43,2006,210.0,1.0
43,2006,210.0,0.2857143
43,2006,55.0,1.0
43,2006,206.0,1.0
43,2006,150.0,0.0
43,2006,460.0,1.0
43,2006,335.0,0.71641791
43,2006,265.0,1.0
43,2006,55.0,1.0
43,2006,125.0,1.0
43,2006,180.0,1.0
43,2006,182.0,1.0
43,2006,585.0,1.0
43,2006,110.0,1.0
43,2006,40.0,1.0
43,2006,60.0,0.0
43,2006,65.0,1.0
43,2006,480.0,1.0
43,2006,190.0,1.0
43,2006,90.0,1.0
43,2006,510.0,1.0
43,2006,85.0,0.0
43,2006,110.0,1.0
43,2006,100.0,0.0
43,2006,450.0,1.0
43,2006,370.0,1.0
43,2006,190.0,1.0
43,2006,200.0,1.0
43,2006,55.0,1.0
43,2006,220.0,1.0
43,2006,160.0,0.3125
43,2006,20.0,1.0
43,2006,320.0,0.84375
43,2006,420.0,0.71428573
43,2006,40.0,1.0
43,2006,100.0,1.0
43,2006,310.0,1.0
43,2006,190.0,1.0
43,2006,305.0,1.0
43,2006,250.0,1.0
43,2006,60.0,1.0
43,2006,490.0,1.0
43,2006,50.0,0.0
43,2006,440.0,0.29545453
43,2006,140.0,1.0
43,2006,270.0,0.81481481
43,2006,100.0,1.0
43,2006,196.0,1.0
43,2006,25.0,1.0
43,2006,100.0,0.5
43,2006,85.0,1.0
43,2006,215.0,0.76744187
43,2006,50.0,1.0
43,2006,70.0,0.0
43,2006,650.0,1.0
43,2006,50.0,1.0
43,2006,35.0,1.0
43,2006,210.0,0.76190478
43,2006,84.0,1.0
43,2006,240.0,1.0
43,2006,240.0,1.0
43,2006,60.0,1.0
43,2006,265.0,0.9245283
43,2006,300.0,1.0
43,2006,225.0,1.0
43,2006,150.0,1.0
43,2006,50.0,1.0
43,2006,60.0,1.0
43,2006,150.0,1.0
43,2006,105.0,1.0
43,2006,380.0,0.47368422
