diet_pathway,source_scenario,year,world_commodity,source_commodities,baseline_kg_per_capita,pathway_kg_per_capita,preference_multiplier_vs_baseline,mapping_note
PTS,A1,2040,OCG,SORG+BARL+OTGR,2.22163995305499,2.2216399530549826,0.9999999999999966,other grains aggregate
PTS,A1,2041,OCG,SORG+BARL+OTGR,2.222341242184352,2.2223412421844166,1.000000000000029,other grains aggregate
PTS,A1,2042,OCG,SORG+BARL+OTGR,2.2230601880692227,2.2230601880691,0.9999999999999448,other grains aggregate
PTS,A1,2043,OCG,SORG+BARL+OTGR,2.2236564327713,2.2236564327712998,0.9999999999999998,other grains aggregate
PTS,A1,2044,OCG,SORG+BARL+OTGR,2.22412966151672,2.2241296615149766,0.9999999999992161,other grains aggregate
PTS,A1,2045,OCG,SORG+BARL+OTGR,2.224479579333547,2.224479579333547,1.0,other grains aggregate
PTS,A1,2046,OCG,SORG+BARL+OTGR,2.2251191793798606,2.225119179379849,0.9999999999999948,other grains aggregate
PTS,A1,2047,OCG,SORG+BARL+OTGR,2.2256755523755114,2.225675552375547,1.000000000000016,other grains aggregate
PTS,A1,2048,OCG,SORG+BARL+OTGR,2.226110209231824,2.2261102092318543,1.0000000000000135,other grains aggregate
PTS,A1,2049,OCG,SORG+BARL+OTGR,2.2264228774958235,2.2264228774969412,1.000000000000502,other grains aggregate
PTS,A1,2050,OCG,SORG+BARL+OTGR,2.226613304442927,2.2266133044427248,0.9999999999999093,other grains aggregate
PTS,A1,2023,ODA,MILK,37.05427511403377,37.05427511403377,1.0,common dairy-food multiplier
PTS,A1,2024,ODA,MILK,35.49446339894381,35.49446339894381,1.0,common dairy-food multiplier
PTS,A1,2025,ODA,MILK,35.924228811772124,36.19366052786042,1.0075000000000003,common dairy-food multiplier
PTS,A1,2026,ODA,MILK,36.34660570111934,36.89384928320696,1.015056250000004,common dairy-food multiplier
PTS,A1,2027,ODA,MILK,36.78983409802401,37.62382917044486,1.022669171875,common dairy-food multiplier
PTS,A1,2028,ODA,MILK,37.2307397738459,38.36029028640905,1.0303391906640718,common dairy-food multiplier
PTS,A1,2029,ODA,MILK,37.67563260849735,39.109820915667726,1.038066734594044,common dairy-food multiplier
PTS,A1,2030,ODA,MILK,38.12050271847346,39.86841297138425,1.0458522351034931,common dairy-food multiplier
PTS,A1,2031,ODA,MILK,38.56987453831741,40.64092741472742,1.0536961268658658,common dairy-food multiplier
PTS,A1,2032,ODA,MILK,39.04444247821292,41.44953514857768,1.0615988478182732,common dairy-food multiplier
PTS,A1,2033,ODA,MILK,39.52715655677596,42.27669873714187,1.0695608391768967,common dairy-food multiplier
PTS,A1,2034,ODA,MILK,40.01881518358706,43.12357673225253,1.0775825454707322,common dairy-food multiplier
PTS,A1,2035,ODA,MILK,40.52128733750941,43.99251969456101,1.0856644145616365,common dairy-food multiplier
PTS,A1,2036,ODA,MILK,41.00623388512871,44.85290147106096,1.093806897670924,common dairy-food multiplier
PTS,A1,2037,ODA,MILK,41.5007538537791,45.73426440498764,1.1020104494035121,common dairy-food multiplier
PTS,A1,2038,ODA,MILK,41.98687376587926,46.6169984299937,1.1102755277740426,common dairy-food multiplier
PTS,A1,2039,ODA,MILK,42.46417372636009,47.50053489223948,1.1186025942323474,common dairy-food multiplier
PTS,A1,2040,ODA,MILK,42.93223919771442,48.38429499883781,1.1269921136890908,common dairy-food multiplier
PTS,A1,2041,ODA,MILK,43.3983424718728,49.2764116358268,1.1354445545417702,common dairy-food multiplier
PTS,A1,2042,ODA,MILK,43.87084102525766,50.186504351873,1.1439603887005318,common dairy-food multiplier
PTS,A1,2043,ODA,MILK,44.33412295177504,51.09685412855732,1.152540091616079,common dairy-food multiplier
PTS,A1,2044,ODA,MILK,44.78779877397847,52.00688170500855,1.1611841423031564,common dairy-food multiplier
PTS,A1,2045,ODA,MILK,45.2314853340205,52.91599912895446,1.1698930233704732,common dairy-food multiplier
PTS,A1,2046,ODA,MILK,45.6674991558636,53.82678432215095,1.1786672210457514,common dairy-food multiplier
PTS,A1,2047,ODA,MILK,46.09741523034646,54.74101364924672,1.187507225203596,common dairy-food multiplier
PTS,A1,2048,ODA,MILK,46.51655964298147,55.65304129766191,1.196413529392623,common dairy-food multiplier
PTS,A1,2049,ODA,MILK,46.92457721772912,56.56225803715373,1.2053866308630967,common dairy-food multiplier
PTS,A1,2050,ODA,MILK,47.3211213233869,57.46804885316443,1.214427030594534,common dairy-food multiplier
PTS,A1,2023,OTO,SOYO+RAPO+GRDO,21.60228989763562,21.60228989763562,1.0,total vegetable-oil multiplier
PTS,A1,2024,OTO,SOYO+RAPO+GRDO,22.17847303093135,22.17847303093135,1.0,total vegetable-oil multiplier
PTS,A1,2025,OTO,SOYO+RAPO+GRDO,22.242006901130008,22.28649091493226,1.0019999999999996,total vegetable-oil multiplier
PTS,A1,2026,OTO,SOYO+RAPO+GRDO,22.314617873578104,22.40396560354395,1.0040040000000017,total vegetable-oil multiplier
PTS,A1,2027,OTO,SOYO+RAPO+GRDO,22.39009698942575,22.524706431646948,1.0060120079999997,total vegetable-oil multiplier
PTS,A1,2028,OTO,SOYO+RAPO+GRDO,22.463007608462064,22.643251500688045,1.0080240320160014,total vegetable-oil multiplier
PTS,A1,2029,OTO,SOYO+RAPO+GRDO,22.534825000013715,22.761076447603358,1.010040080080032,total vegetable-oil multiplier
PTS,A1,2030,OTO,SOYO+RAPO+GRDO,22.604816447378603,22.87743415593413,1.0120601602401926,total vegetable-oil multiplier
PTS,A1,2031,OTO,SOYO+RAPO+GRDO,22.68410063086834,23.003589868419745,1.0140842805606605,total vegetable-oil multiplier
